SID	tg_lbp1	tg_lbp2	tg_lbp3	tg_lbp4	tg_lbp5	tg_hog1	tg_hog2	tg_hog3	tg_hog4	tg_hog5	tg_contrast	tg_dissimilarity	tg_homogeneity	tg_energy	tg_correlation	tg_entropy
TE0005174	50288	20789	29712	21893	54438	287735	20048	609	44	12	67.76337174	3.771282642	0.463051672	0.317364476	0.934434485	6.645289203
TE0005175	62432	19803	33487	19348	61248	302617	23134	619	43	17	96.41943189	4.179699912	0.469855338	0.285816583	0.897556379	6.493484282
TE0005176	34047	20447	34969	20724	38522	244339	22071	360	32	12	82.73711086	3.97059969	0.490717459	0.349818435	0.919467128	6.656999825
TE0005177	29308	12440	16782	11705	27743	185438	11679	306	39	16	97.51505941	4.145462531	0.527051083	0.42572966	0.930632743	6.852946565
TE0005178	30357	22578	38458	28703	48200	274461	26081	468	55	12	62.23727674	2.39699622	0.578112299	0.340115012	0.940422188	6.382136001
TE0005179	61883	22315	31968	25094	71194	331742	25644	579	41	14	47.0039775	2.691880563	0.513303404	0.299174346	0.961277315	6.789034017
TE0005180	48467	19241	29258	19916	53617	274424	20540	470	43	11	74.36485781	3.260456725	0.503887784	0.322228055	0.95378177	7.004922747
TE0005181	47643	18941	28298	18522	49717	287203	18607	482	36	14	80.68446095	3.840066306	0.498019734	0.369007142	0.920431737	6.654800817
TE0005182	45053	20502	28687	20452	45211	250431	19576	397	42	13	81.43120593	3.730072048	0.476891549	0.313814313	0.927048612	6.683984343
TE0005183	65142	23969	36458	25400	67531	324603	26310	559	48	20	68.15580945	3.140901572	0.473448028	0.263459068	0.944800029	6.531013134
TE0005184	58532	27302	35175	27463	64664	344645	29238	601	41	19	83.01437516	3.523792487	0.512855878	0.312550186	0.947804774	7.000833764
TE0005185	35990	11265	19539	12083	38324	188016	13990	376	30	7	70.0242245	3.123052675	0.518126456	0.325170309	0.93925645	6.668666238
TE0005186	43888	17850	27198	17332	44080	277320	18203	404	30	17	83.5251	3.617252865	0.525280546	0.394696986	0.911476079	6.463276592
TE0005187	64053	25094	39440	27112	64182	373179	28750	577	48	16	77.12959944	3.635241335	0.50874396	0.347087997	0.921206422	6.702174678
TE0005188	40930	14555	22945	15399	45295	231225	18169	590	45	18	78.56543758	2.929396856	0.53016504	0.340957867	0.958924804	7.097384209
TE0005189	46979	16239	26633	16783	51866	265694	18943	437	34	12	61.8464405	3.155122489	0.511140858	0.346369721	0.919011548	6.371754581
TE0005190	39834	15115	24197	15800	42293	252702	16451	362	31	22	63.74073786	3.215978276	0.542292655	0.403591778	0.93842134	6.867201928
TE0005191	41462	17028	25931	18976	56248	253449	19635	638	37	21	40.21778688	1.975760679	0.585882844	0.318957478	0.958560595	6.473176459
TE0005192	35977	15652	22623	15823	37243	215256	15938	428	25	13	74.79501253	3.4464459	0.506968781	0.351638971	0.945178328	6.740378559
TE0005193	39878	14699	23263	14468	41178	236312	15950	409	30	19	48.33142466	2.566410959	0.576050044	0.386334175	0.92795419	6.419087332
TE0005194	56585	17909	29447	18552	56634	295314	21565	570	45	26	63.17874632	3.003431236	0.515388056	0.332944681	0.943126964	6.672962535
TE0005195	46886	18539	28378	18211	47507	268074	20052	482	54	22	79.90636384	3.582577088	0.494311091	0.346802932	0.922199844	6.398110039
TE0005196	27325	12989	18056	13628	32061	178930	14647	298	26	13	88.50827759	3.743143813	0.536358732	0.374727752	0.863550321	6.337153643
TE0005197	39596	18097	30519	18598	42931	260959	20637	317	37	11	73.59181134	3.649729326	0.517097747	0.372333548	0.920902706	6.74950093
TE0005198	64887	23722	33089	25273	70897	326602	27550	566	49	13	80.36384562	3.431390925	0.471544881	0.278254794	0.960698361	6.885019863
TE0005199	43665	17703	26444	17752	45516	278619	18376	372	50	15	61.2051276	2.969038084	0.553258748	0.403985155	0.909224551	6.440875647
TE0005200	61082	24084	34051	23647	61731	340394	22211	607	55	18	100.8045541	4.70841119	0.443857956	0.321933255	0.924333155	6.807836055
TE0005201	52114	18414	27177	19383	53472	284669	17788	422	48	13	72.99596267	3.667302244	0.49122236	0.337709006	0.900308777	6.456187347
TE0005202	51247	20206	28521	19989	52462	320397	19199	509	71	24	103.202393	4.467902591	0.505848167	0.398387904	0.892013268	6.729826673
TE0005203	57169	24351	34484	23804	56715	322179	22210	608	48	15	100.1252288	4.371390323	0.463294438	0.322089355	0.913307265	6.642926858
TE0005204	42853	14684	26822	17631	52519	256151	18826	520	42	23	43.53605442	2.200187075	0.57359693	0.343750572	0.955143781	6.562119939
TE0005205	56695	23329	32081	22471	52468	348382	20840	461	57	25	95.30103208	4.342451855	0.501562103	0.397022373	0.90185603	6.630075482
TE0005206	56219	25311	34606	26652	56560	323516	24770	487	76	18	93.24162994	3.90616991	0.474915048	0.319919853	0.923331137	6.66348953
TE0005207	50521	20066	27508	20124	47669	280879	18131	310	45	11	88.36693158	4.513176972	0.468291814	0.348566174	0.892450541	6.571655829
TE0005208	58674	23108	33241	22870	61103	314395	23575	556	43	11	104.9701972	4.52419086	0.439639693	0.300915428	0.945573247	7.02763974
TE0005209	50264	20450	29736	20445	48887	287615	17611	330	46	11	146.2306286	6.458786457	0.426457185	0.345514828	0.880781306	6.875970456
TE0005210	33630	14981	23856	14815	34840	219909	14689	264	20	18	81.43560604	3.854302116	0.520593576	0.399340201	0.891266109	6.511828278
TE0005211	45854	18378	25906	20000	46474	291147	19029	394	51	14	56.40336949	3.146229826	0.547927224	0.413357894	0.941844056	6.722023174
TE0005212	66720	26355	32964	24995	61905	403435	23567	604	50	24	103.6993902	4.949495513	0.494229656	0.395542042	0.853491198	6.558872849
TE0005213	29703	14383	19406	14361	30605	195623	14372	319	33	10	60.94702118	2.968336275	0.549634304	0.398905542	0.955812554	6.932685442
TE0005214	58459	20068	31338	20698	62460	313613	22526	593	44	22	88.6498047	4.132909511	0.469591589	0.318658883	0.933932836	6.883314217
TE0005215	55430	20897	33383	22252	58093	345963	20932	445	50	26	63.55997123	3.188596604	0.541464283	0.386630715	0.934644669	6.785931907
TE0005216	49978	18320	24728	17980	49228	269592	17580	486	40	14	89.42646312	4.444604664	0.470583455	0.349880528	0.908149873	6.691430554
TE0005217	30654	13800	19270	14492	33253	195809	14431	321	31	8	72.31096109	3.589423434	0.51660125	0.388236626	0.933851792	6.825268012
TE0005218	36409	14840	23268	16157	36552	229734	15730	400	38	14	65.84639717	2.968042813	0.550058538	0.388622107	0.934882889	6.636138723
TE0005219	59185	23136	31613	24318	61539	319590	22026	546	48	15	81.67626775	4.467559902	0.442100195	0.311795693	0.911735262	6.65493033
TE0005220	33876	15064	19778	15633	33226	198542	14950	288	47	13	71.65359393	3.565438687	0.508017652	0.366490745	0.950985005	6.996810464
TE0005221	44942	18836	26772	19588	47112	273195	16688	362	45	14	67.37701324	3.429623473	0.511904137	0.367314475	0.883340511	6.306474812
TE0005222	63355	22910	34392	24296	65673	354432	22626	504	44	16	66.23588694	3.93332494	0.469288707	0.334589628	0.93705953	6.730324143
TE0005223	32723	13210	18985	13467	33939	198961	14970	340	33	22	82.61637592	3.669072743	0.52439632	0.395134491	0.939131087	6.824194523
TE0005224	36040	13164	18203	13409	36156	188163	12145	375	22	13	90.37890474	4.596034718	0.449566927	0.322718977	0.896816351	6.650028911
TE0005225	51791	19998	28279	21877	55683	275571	22439	423	37	15	83.24042327	3.206439173	0.510704412	0.306983893	0.939195347	6.899488639
TE0005226	46979	17013	24133	17179	48605	262591	19093	482	24	14	67.05540312	3.668174515	0.496923314	0.361372647	0.90437316	6.376157496
TE0005227	64450	25967	34470	26188	63805	359929	24862	535	45	27	77.94203625	3.892095684	0.468257672	0.328601039	0.902919719	6.320546134
TE0005228	60403	20686	33275	22339	66649	313996	22396	523	30	15	109.0434853	5.336294896	0.420187773	0.283500662	0.894682138	6.700031795
TE0005229	57759	21189	29000	21242	55223	298458	21728	506	55	13	80.22903271	3.814683141	0.470886336	0.3178183	0.941472437	6.772227482
TE0005230	50012	20262	24917	20355	47168	265868	18567	544	44	16	90.71018148	4.062964611	0.467229877	0.323426664	0.929549174	6.809925711
TE0005231	52991	20375	30268	21565	60096	294790	20574	477	45	14	92.04302421	4.37483054	0.453673825	0.303642126	0.917131335	6.711684285
TE0005232	44330	16548	24014	17286	47086	256898	18265	340	43	16	51.23820739	2.841384277	0.548801339	0.365874813	0.923089769	6.490434655
