SID	zhi_lbp1	zhi_lbp2	zhi_lbp3	zhi_lbp4	zhi_lbp5	zhi_hog1	zhi_hog2	zhi_hog3	zhi_hog4	zhi_hog5	zhi_contrast	zhi_dissimilarity	zhi_homogeneity	zhi_energy	zhi_correlation	zhi_entropy
TE0001506	32419	9268	12585	10340	26983	518338	33665	1008	190	110	45.6156208	1.806180357	0.843841848	0.789959377	0.742549738	6.364440454
TE0001507	24896	7159	9366	7143	16588	400475	26817	1130	167	63	54.00267811	1.940820955	0.846981501	0.806038042	0.745461368	6.590741205
TE0001508	41864	14164	19540	15747	34147	513570	28134	723	154	38	48.89848015	2.03472051	0.790487886	0.715008959	0.799445771	6.397737389
TE0001509	44717	12638	18600	15213	32270	503742	32846	802	83	43	71.48692154	2.656298196	0.774605202	0.712502506	0.764037707	6.518927031
TE0001510	38684	12217	16561	11672	24651	490606	26530	1028	96	59	71.68562231	2.343312409	0.806759186	0.747335299	0.823176371	6.712703969
TE0001511	39345	13747	19578	14809	37126	460060	25326	488	88	38	46.38182883	1.988046705	0.781117898	0.686468917	0.808136105	6.243558708
TE0001512	40953	15410	20992	16644	35226	456286	22563	492	145	34	43.88455796	2.114260429	0.755940055	0.672545422	0.834920261	6.304505195
TE0001513	31458	11011	13411	9834	19074	476621	27665	931	163	60	77.40635464	2.42232264	0.823912578	0.786329816	0.826885405	7.05049354
TE0001514	46075	14666	19401	14777	30043	485237	30029	554	123	27	82.59639682	2.748411323	0.759872758	0.692999307	0.801617155	6.550338833
TE0001515	46197	17938	20550	16955	32104	438898	25472	438	101	31	107.9254189	4.009058769	0.690794791	0.636118147	0.758040631	6.636413927
TE0001516	32373	11804	14790	12226	25353	428471	20446	523	68	42	59.9354403	2.222423491	0.794164624	0.733597207	0.84879052	6.680378943
TE0001517	18155	6561	8525	6275	13839	403669	13493	562	117	38	30.16677109	1.14327322	0.888004722	0.844150175	0.886902994	6.81430279
TE0001518	25484	7421	9130	6470	15500	335313	15937	534	132	29	60.6053913	2.080976589	0.825187452	0.773017091	0.819650078	6.620552652
TE0001519	61269	20204	25485	21085	51260	487007	30484	522	40	23	86.94484911	3.428842213	0.668369257	0.567893743	0.798554398	6.439560735
TE0001520	46821	16493	24237	18444	40392	441852	26343	1122	121	38	70.010489	2.446285792	0.733043071	0.622309961	0.845647829	6.13088349
TE0001521	29416	8994	14387	10689	24481	350246	18393	571	103	47	41.48933632	1.592908224	0.816581895	0.713797364	0.852058227	6.466817887
TE0001522	51555	18011	22477	17329	36752	508322	27248	790	137	47	83.71456644	3.023743523	0.727754905	0.660137842	0.815592011	6.571874292
TE0001523	33661	10730	15082	12788	25215	456825	26799	971	204	67	50.67859174	1.882033071	0.820453662	0.751997058	0.78780028	6.45397851
TE0001524	27395	8216	10546	7465	15465	448081	22187	1602	222	57	53.11660096	1.64452769	0.860369057	0.816259139	0.781165131	6.579926806
TE0001525	23538	7739	8669	5859	14520	381516	20326	608	76	44	53.2977208	2.001032764	0.842983515	0.807917003	0.720611101	6.491629997
TE0001526	29881	10127	12517	9666	19684	400124	20321	609	108	38	72.81607829	2.498559486	0.799319652	0.755096801	0.818304464	6.863374259
TE0001527	34646	11027	14870	12233	23583	469780	27658	1200	256	66	54.94995176	1.947028765	0.822662265	0.759242521	0.776679387	6.526514525
TE0001528	32286	10240	13485	10625	21995	436137	22983	756	144	60	61.15797242	1.940135467	0.828508445	0.762253143	0.839273966	6.753109116
TE0001529	46010	16134	20213	17069	29880	659181	32278	1285	222	70	63.58030324	2.183377483	0.813716656	0.762032664	0.837392065	6.775474658
TE0001530	29044	8626	11072	9540	18858	436707	23511	835	120	41	58.1724676	2.015769829	0.836796643	0.787111372	0.784262825	6.685840004
TE0001531	38916	13565	17212	14787	28753	503614	26645	921	134	46	65.21307742	2.319000858	0.795279677	0.734419424	0.832915214	6.785505749
TE0001532	21926	7460	10545	8055	17807	349972	16764	509	132	39	40.45212199	1.613001415	0.842785471	0.779117008	0.799830557	6.398970578
TE0001533	33055	10649	15268	11033	30682	425389	22747	776	106	46	41.33406328	1.666994344	0.820781699	0.723473673	0.809996998	6.270246515
TE0001534	33579	11288	14778	11163	24962	401330	20870	888	167	51	60.86114328	2.204456868	0.790303356	0.721965384	0.833384429	6.646603154
TE0001535	26890	9273	11927	9336	21266	337145	17976	502	87	42	56.55288961	2.256546236	0.790621193	0.728241949	0.776252079	6.43304905
TE0001536	26327	10081	14358	11039	23626	434335	20332	652	166	59	45.88888371	1.476854873	0.849433528	0.772599255	0.925325324	6.990872605
TE0001537	28703	9523	14403	10745	24288	330840	17893	446	58	35	56.63125878	2.025617475	0.792996528	0.700612486	0.864599416	6.730878464
TE0001538	26785	9447	12162	10598	19487	466987	24472	1122	156	67	52.38331829	1.744839433	0.848883158	0.800613575	0.842735608	6.877322444
TE0001539	40421	13313	17345	13951	28550	472533	25493	709	176	49	69.29006317	2.582148779	0.772070426	0.712861153	0.773160804	6.416144943
TE0001540	55661	18480	24926	21610	48726	486030	29772	518	27	28	69.00771884	2.744233973	0.71000877	0.596616364	0.818649861	6.360534391
TE0001541	30923	9825	12955	10210	22471	453475	25715	837	100	41	50.19478596	1.937799608	0.826225018	0.776432569	0.725861828	6.384994827
TE0001542	52798	17258	23486	19656	41242	520579	29489	622	77	33	82.33179818	3.186560427	0.721442981	0.645476551	0.825473908	6.656097138
TE0001543	20277	5521	8709	7003	16536	539868	16784	791	170	72	20.78047067	0.814882546	0.917446371	0.871394544	0.761771276	6.138837282
TE0001544	39357	12841	13128	10926	20955	520331	25720	557	113	29	103.7976094	3.390282573	0.78557372	0.762877188	0.64070283	6.615110963
TE0001545	34216	12500	15101	11990	21606	384274	22696	720	108	37	72.49672471	2.555125742	0.772018522	0.711512613	0.830298228	6.712899006
TE0001546	48778	15660	23716	18768	42297	515535	28300	599	93	36	59.73157053	2.266383646	0.76457838	0.662563087	0.861944563	6.512348568
