SID	fissure_cnnPC1	fissure_cnnPC2	fissure_cnnPC3	fissure_cnnPC4	fissure_cnnPC5	fissure_cnnPC6	fissure_cnnPC7	fissure_cnnPC8	fissure_cnnPC9	fissure_cnnPC10
TE0004135	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004136	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004137	-9.585499	-3.4447715	12.72985	-1.6379325	-6.723181	-4.161455	-13.167289	-11.55038	6.2986693	3.784872
TE0004138	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004139	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004140	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004141	24.770803	5.445056	-11.57381	-11.281754	12.430088	16.73989	14.6695385	-13.236834	-3.290404	-1.3842354
TE0004142	-41.008778	-7.899754	-11.66261	13.91033	-7.7775707	0.18918775	3.9484112	4.089056	-0.8739565	4.3128443
TE0004143	18.125624	-18.323368	0.30493918	-17.39727	-10.059967	-4.0331564	-12.579223	-4.4876137	12.487532	-8.8925
TE0004144	-2.4015985	-19.535233	11.511205	1.9875381	-3.8439808	3.9265685	-16.35387	0.90397173	10.798316	-2.8124855
TE0004145	1.9936632	-17.766825	8.762779	-19.423485	0.6206087	-6.895474	1.9265641	7.36007	-2.584516	1.7179638
TE0004146	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004147	32.965054	-0.14288981	-15.1728525	4.65352	-25.490913	5.1074443	-9.198891	-3.9499137	-7.7963047	0.4253787
TE0004148	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004149	-3.4387796	-9.939732	-13.088364	-12.705396	3.1380775	-6.3755193	10.351524	2.94696	-5.7683463	4.734745
TE0004150	-10.022117	-14.226223	4.5178485	-6.0420194	-4.050886	-2.8731675	8.737922	1.4919734	1.470879	-9.891661
TE0004151	5.4501815	-18.512165	-11.006726	-8.046406	-4.3357115	0.53165966	1.9902986	-5.2665124	1.4916002	0.33131948
TE0004152	-11.318241	15.070225	-13.637784	0.8592607	-0.7983929	-11.477209	5.45957	2.4315343	3.548884	-6.46686
TE0004153	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004154	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004155	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
