SID	tai_lbp1	tai_lbp2	tai_lbp3	tai_lbp4	tai_lbp5	tai_hog1	tai_hog2	tai_hog3	tai_hog4	tai_hog5	tai_contrast	tai_dissimilarity	tai_homogeneity	tai_energy	tai_correlation	tai_entropy
TE0005603	20739	7678	12058	9279	30895	253020	17037	925	152	54	110.1577799	2.637654422	0.74959357	0.641928128	0.862676945	6.611840044
TE0005604	23573	9985	14861	11631	30839	291856	20764	1155	117	64	134.0548103	2.856424879	0.750373321	0.645545418	0.835689251	6.508182373
TE0005605	26000	10831	18786	14882	42946	294800	23188	1145	121	48	138.2822722	2.843572419	0.744025048	0.577714305	0.935723989	6.920681797
TE0005606	27968	9745	14924	12331	39844	311527	23818	965	96	68	111.7781891	2.857583179	0.75028703	0.622286717	0.895584193	6.796851653
TE0005607	27493	10802	16266	12438	33849	274260	21210	833	111	46	129.7938468	3.226373281	0.704361771	0.591066598	0.881185748	6.755906106
TE0005608	31141	14426	21879	19871	44589	359111	26362	1023	133	65	103.2581544	2.635386359	0.721326515	0.585614621	0.912123351	6.815448369
TE0005609	25838	8534	12945	10802	37240	311365	23900	1039	108	62	133.2459532	2.899716165	0.77795918	0.652702794	0.904364048	7.185646465
TE0005610	10037	3772	5652	4637	15775	135545	9742	578	64	33	66.24785862	1.840919633	0.798230001	0.684301147	0.782325814	6.209314774
TE0005611	23494	9111	11388	9320	22868	278703	21742	969	105	44	118.9060178	3.505400827	0.739714788	0.68443995	0.786721173	6.869655637
TE0005612	15485	6565	11305	7408	20620	206507	15465	676	57	45	82.45532775	2.373765471	0.781617876	0.668723157	0.837440101	6.640331048
TE0005613	31106	11413	19047	15174	46280	352330	26176	1378	106	62	110.4546875	2.467033208	0.759660672	0.60337626	0.816756842	6.079610317
TE0005614	25235	8893	17636	13660	49145	278795	25578	890	76	31	99.00880228	2.547078721	0.751896368	0.548466841	0.887101619	6.710512003
TE0005615	18917	6120	9509	7738	27784	217429	17528	963	74	40	124.1469632	2.916478818	0.76528262	0.647143161	0.818840295	6.87821518
TE0005616	20062	7904	12845	10207	32091	260556	20369	1095	132	52	87.88824343	2.349727917	0.766338109	0.642208941	0.869579435	6.729806437
TE0005617	22606	9346	16866	13374	37429	238115	19650	681	56	50	86.57285051	2.285549668	0.731477012	0.540279501	0.863990821	6.178320526
TE0005618	16659	7833	11273	10467	21943	195056	14361	833	65	42	109.1665771	2.993849156	0.715296177	0.614314202	0.828044865	6.592694669
TE0005619	10561	4158	7305	5329	21220	239954	9696	331	33	33	22.08351002	0.904679537	0.867948771	0.7716488	0.899547203	6.357696979
TE0005620	20100	7945	13852	11612	35777	279027	20850	1041	100	59	113.6150078	2.457810047	0.783296171	0.637815854	0.807719599	6.153892267
TE0005621	28631	10135	14920	11914	33916	296655	23519	1072	97	65	134.9439667	3.430264983	0.720853338	0.620636756	0.868756764	6.888854118
TE0005622	24108	12246	14547	13035	26547	237907	18181	751	61	32	121.6670371	3.471473751	0.670159725	0.578666459	0.780771625	6.16505664
TE0005623	16755	7443	12082	9443	28890	284654	17899	1117	177	65	91.55979441	2.039630365	0.809498192	0.701715264	0.845303873	6.560310469
TE0005624	26886	10054	15176	12091	32973	327697	24877	1035	143	56	109.6478084	2.908499824	0.750060347	0.659081861	0.876744242	6.995441519
TE0005625	21157	11764	16956	12761	32095	348595	23042	928	120	77	63.18063458	1.950025747	0.789546324	0.690264251	0.904362368	7.046364956
TE0005626	33210	12913	18859	14709	44813	377709	26099	1400	131	66	113.2742051	2.970553827	0.732350564	0.622241572	0.897246854	7.008153088
TE0005627	26761	11687	21044	16302	49610	321994	24137	1024	123	50	115.4210745	2.42515489	0.7502394	0.563692637	0.87584322	6.659682542
TE0005628	19348	6951	12381	9431	33165	333862	22586	1291	165	116	103.8481569	2.198938327	0.825794013	0.720930096	0.879707877	7.143906377
TE0005629	35615	15988	21899	16943	40345	368646	26394	1387	140	90	97.52117275	3.079372619	0.688650145	0.593871342	0.884038081	6.792772606
TE0005630	21492	9336	17331	12973	35385	249291	21452	845	116	51	88.00945916	2.566205483	0.725633275	0.572705092	0.898217149	6.709726283
TE0005631	24318	15250	19482	17635	35512	271190	22203	548	57	32	82.83566204	2.942161532	0.671479219	0.543575729	0.917050333	6.869384283
TE0005632	18675	7437	11372	9117	22269	331377	19966	1188	148	76	100.6291713	2.378475229	0.815712422	0.759770186	0.821652846	6.984046431
TE0005633	20597	9479	14958	11348	24850	222016	17518	761	77	36	101.6952742	3.148008447	0.689335594	0.593931229	0.834744498	6.687518107
TE0005634	14263	7106	10995	9057	21824	175136	13590	695	70	49	112.0322683	2.827707317	0.725175416	0.603000607	0.79579889	6.405667592
TE0005635	24539	7678	15317	9938	37042	262668	21304	1022	84	42	143.8265438	3.106754221	0.739307365	0.600712279	0.865655103	6.894391392
TE0005636	29085	12864	19703	16640	43283	344783	27106	1156	138	65	105.832964	2.475578277	0.749188987	0.60625306	0.838369809	6.449050926
