SID	tooth_mk_cnnPC1	tooth_mk_cnnPC2	tooth_mk_cnnPC3	tooth_mk_cnnPC4	tooth_mk_cnnPC5	tooth_mk_cnnPC6	tooth_mk_cnnPC7	tooth_mk_cnnPC8	tooth_mk_cnnPC9	tooth_mk_cnnPC10
TE0004142	48.411255	5.8784676	11.675498	-5.248059	-2.5760589	8.693115	15.576107	-0.42920014	-8.573359	4.10068
TE0004143	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004144	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004145	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004146	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004147	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004148	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004149	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004150	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004151	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004152	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004153	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004154	39.78892	45.796722	-16.71051	-9.517224	6.816728	1.778537	-9.447958	1.6622683	4.331403	10.121719
TE0004155	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004156	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004157	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004158	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004159	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004160	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004161	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004162	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004163	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004164	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004165	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004166	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004167	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004168	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004169	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004170	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004171	33.340275	17.868534	-21.677296	-8.860984	8.087719	-13.079808	-4.1364555	10.00041	-13.243611	14.787786
TE0004172	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004173	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004174	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004175	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004176	74.25497	-22.903923	-18.953016	-18.030418	-7.079047	3.3051157	-2.5098274	-6.2960443	-1.125743	7.812392
TE0004177	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004178	-2.553412	-11.254281	-7.587084	19.157318	7.3995805	-9.926846	4.3997345	-0.868869	6.3464537	-3.0131526
TE0004179	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004180	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004181	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004182	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004183	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004184	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004185	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004186	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004187	19.965347	16.081602	5.7081428	-15.533346	-6.1896358	4.9690123	2.6031377	-7.8182397	-1.6551582	11.860148
